RekNr,Datum,Symbool,ISIN,Type optie,Expiratie,Strike,Valuta,Slotkoers,Aantal,Valutakoers,Contractgrootte,Waarde EUR,Waarde Orig Valuta,Aankoopwaarde,Type instrument,Binckcode,Titel instrument,
5,2020-01-14,EUR,,,31-12-1899,0,EUR,0,"59304,44",1,0,"59304,44","59304,44",0,,1234,,0
5,2020-01-15,AEX,,PUT,20-03-2020,520,EUR,"0,48",3,1,100,144,144,"2.325,00",Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-01-15,AEX,,PUT,19-06-2020,540,EUR,"4,66",3,1,100,1398,1398,"1.905,00",Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-01-15,TDT,NL0009272749,,31-12-1899,0,EUR,"61,1",3231,1,1,"197414,1","197414,1","185.082,30",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-01-15,VEUR NA,IE00B945VV12,,31-12-1899,0,EUR,"32,899",2026,1,1,"66653,37","66653,37","58.899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-01-15,VFEM NA,IE00B3VVMM84,,31-12-1899,0,EUR,"55,94",1194,1,1,"66792,36","66792,36","59.057,50",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-01-15,VUSA NA,IE00B3XXRP09,,31-12-1899,0,EUR,"56,103",1224,1,1,"68670,07","68670,07","47.449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-01-15,USD,,,31-12-1899,0,USD,0,"4,61","1,11495",0,"4,13","4,61",0,,0,,0
5,2020-01-15,EUR,,,31-12-1899,0,EUR,0,"59304,44",1,0,"59304,44","59304,44",0,,1234,,0
5,2020-01-16,AEX,,PUT,20-03-2020,520,EUR,"0,41",3,1,100,123,123,"2.325,00",Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-01-16,AEX,,PUT,19-06-2020,540,EUR,"4,43",3,1,100,1329,1329,"1.905,00",Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-01-16,TDT,NL0009272749,,31-12-1899,0,EUR,"61,16",3231,1,1,"197607,96","197607,96","185.082,30",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-01-16,VEUR NA,IE00B945VV12,,31-12-1899,0,EUR,"32,944",2026,1,1,"66744,54","66744,54","58.899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-01-16,VFEM NA,IE00B3VVMM84,,31-12-1899,0,EUR,"56,19",1194,1,1,"67090,86","67090,86","59.057,50",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-01-16,VUSA NA,IE00B3XXRP09,,31-12-1899,0,EUR,"56,375",1224,1,1,69003,69003,"47.449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-01-16,USD,,,31-12-1899,0,USD,0,"4,61","1,11385",0,"4,14","4,61",0,,0,,0
5,2020-01-16,EUR,,,31-12-1899,0,EUR,0,"59304,44",1,0,"59304,44","59304,44",0,,1234,,0
5,2020-01-17,AEX,,PUT,20-03-2020,520,EUR,"0,36",3,1,100,108,108,"2.325,00",Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-01-17,AEX,,PUT,19-06-2020,540,EUR,"4,01",3,1,100,1203,1203,"1.905,00",Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-01-17,TDT,NL0009272749,,31-12-1899,0,EUR,"61,5",3231,1,1,"198706,5","198706,5","185.082,30",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-01-17,VEUR NA,IE00B945VV12,,31-12-1899,0,EUR,"33,257",2026,1,1,"67378,68","67378,68","58.899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-01-17,VFEM NA,IE00B3VVMM84,,31-12-1899,0,EUR,"56,58",1194,1,1,"67556,52","67556,52","59.057,50",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-01-17,VUSA NA,IE00B3XXRP09,,31-12-1899,0,EUR,"56,885",1224,1,1,"69627,24","69627,24","47.449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-01-17,USD,,,31-12-1899,0,USD,0,"4,61","1,10925",0,"4,16","4,61",0,,0,,0
5,2020-01-17,EUR,,,31-12-1899,0,EUR,0,"59304,44",1,0,"59304,44","59304,44",0,,1234,,0
5,2020-01-18,AEX,,PUT,20-03-2020,520,EUR,"0,36",3,1,100,108,108,"2.325,00",Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-01-18,AEX,,PUT,19-06-2020,540,EUR,"4,01",3,1,100,1203,1203,"1.905,00",Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-01-18,TDT,NL0009272749,,31-12-1899,0,EUR,"61,5",3231,1,1,"198706,5","198706,5","185.082,30",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-01-18,VEUR NA,IE00B945VV12,,31-12-1899,0,EUR,"33,257",2026,1,1,"67378,68","67378,68","58.899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-01-18,VFEM NA,IE00B3VVMM84,,31-12-1899,0,EUR,"56,58",1194,1,1,"67556,52","67556,52","59.057,50",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-01-18,VUSA NA,IE00B3XXRP09,,31-12-1899,0,EUR,"56,885",1224,1,1,"69627,24","69627,24","47.449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-01-18,USD,,,31-12-1899,0,USD,0,"4,61","1,10925",0,"4,16","4,61",0,,0,,0
5,2020-01-18,EUR,,,31-12-1899,0,EUR,0,"59304,44",1,0,"59304,44","59304,44",0,,1234,,0
5,2020-01-19,AEX,,PUT,20-03-2020,520,EUR,"0,36",3,1,100,108,108,"2.325,00",Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-01-19,AEX,,PUT,19-06-2020,540,EUR,"4,01",3,1,100,1203,1203,"1.905,00",Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-01-19,TDT,NL0009272749,,31-12-1899,0,EUR,"61,5",3231,1,1,"198706,5","198706,5","185.082,30",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-01-19,VEUR NA,IE00B945VV12,,31-12-1899,0,EUR,"33,257",2026,1,1,"67378,68","67378,68","58.899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-01-19,VFEM NA,IE00B3VVMM84,,31-12-1899,0,EUR,"56,58",1194,1,1,"67556,52","67556,52","59.057,50",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-01-19,VUSA NA,IE00B3XXRP09,,31-12-1899,0,EUR,"56,885",1224,1,1,"69627,24","69627,24","47.449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-01-19,USD,,,31-12-1899,0,USD,0,"4,61","1,10925",0,"4,16","4,61",0,,0,,0
5,2020-01-19,EUR,,,31-12-1899,0,EUR,0,"59304,44",1,0,"59304,44","59304,44",0,,1234,,0
5,2020-01-20,AEX,,PUT,20-03-2020,520,EUR,"0,33",3,1,100,99,99,"2.325,00",Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-01-20,AEX,,PUT,19-06-2020,540,EUR,"3,98",3,1,100,1194,1194,"1.905,00",Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-01-20,TDT,NL0009272749,,31-12-1899,0,EUR,"61,38",3231,1,1,"198318,78","198318,78","185.082,30",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-01-20,VEUR NA,IE00B945VV12,,31-12-1899,0,EUR,"33,247",2026,1,1,"67358,42","67358,42","58.899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
